         77740 function calls (75472 primitive calls) in 0.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      643    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/range.py:381(is_unique)
       36    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/construction.py:743(_try_cast)
       50    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/construction.py:673(_sanitize_ndim)
        8    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:487(_validate_dtype)
      259    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:653(name)
      323    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:1902(_block)
      279    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1724(np_can_hold_element)
      243    0.000    0.000    0.000    0.000 {pandas._libs.internals.get_blkno_placements}
       49    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/common.py:556(require_length_match)
      243    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2236(is_view)
        6    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       36    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:1812(from_blocks)
      294    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x104c455f0}
